feature,p-value,NC-mean,AD-mean,NC-std,AD-std,
diagnostics_Mask-original_VoxelNum,0.00000000185799818801 ,6262.95555555555000000000 ,4967.65789473684000000000 ,580.71883180775300000000 ,1117.78609074622000000000 ,
original_shape_MeshVolume,0.00000000166248191766 ,6177.97314817777000000000 ,4883.84539471052000000000 ,580.78220993708800000000 ,1110.94064780721000000000 ,
original_shape_SurfaceArea,0.00000012944071953647 ,3998.04749984444000000000 ,3435.16290192105000000000 ,269.24954259983700000000 ,583.31558280038700000000 ,
original_shape_SurfaceVolumeRatio,0.00000121727947185044 ,0.64971142620000000000 ,0.71850948060526300000 ,0.03960896349959730000 ,0.07675469952013620000 ,
original_shape_VoxelVolume,0.00000000185799818801 ,6262.95555555555000000000 ,4967.65789473684000000000 ,580.71883180775300000000 ,1117.78609074622000000000 ,
original_firstorder_10Percentile,0.00000321728515916819 ,1.43756439953333000000 ,1.52346632531578000000 ,0.07219691948762170000 ,0.08424073122673160000 ,
original_firstorder_90Percentile,0.00000105323229441253 ,1.95202160093333000000 ,2.05618590018421000000 ,0.08803330540710290000 ,0.09124746327240310000 ,
original_firstorder_Mean,0.00000029590040678171 ,1.67898870271111000000 ,1.77862851210526000000 ,0.07915022900389100000 ,0.08291751373402130000 ,
original_firstorder_Median,0.00000005692958675223 ,1.66532961464444000000 ,1.77261832315789000000 ,0.08087653998705290000 ,0.08201471768380700000 ,
original_firstorder_RootMeanSquared,0.00000029498059299567 ,1.69241161264444000000 ,1.79222508978947000000 ,0.07952761617768430000 ,0.08276610597644410000 ,
original_gldm_DependenceEntropy,0.00000043296339639698 ,3.72998195762222000000 ,3.86784501121052000000 ,0.09412402211942070000 ,0.13346710683629900000 ,
original_gldm_DependenceNonUniformity,0.00000000218867695932 ,725.63603062444400000000 ,489.96371930947300000000 ,148.22996868560300000000 ,170.62430556924700000000 ,
original_gldm_DependenceNonUniformityNormalized,0.00000049387954570264 ,0.11491766304444400000 ,0.09578330339473680000 ,0.01485878308497850000 ,0.01702765515060520000 ,
original_gldm_GrayLevelNonUniformity,0.00000000186551716480 ,6262.77780626666000000000 ,4967.65789473684000000000 ,580.71393606256000000000 ,1117.78609074622000000000 ,
original_gldm_LargeDependenceEmphasis,0.00000120954558817547 ,493.96048870888800000000 ,472.29671143421000000000 ,13.16480485331750000000 ,23.71881313058030000000 ,
original_glrlm_GrayLevelNonUniformity,0.00000010260225577134 ,1288.01724044444000000000 ,1105.24493921052000000000 ,86.25880466739710000000 ,187.80783722601600000000 ,
original_glrlm_LongRunEmphasis,0.00000000603721054432 ,41.33899596888880000000 ,33.57712005210520000000 ,4.79880803240790000000 ,6.07241993940674000000 ,
original_glrlm_RunEntropy,0.00000001410025108944 ,3.37174484211111000000 ,3.20964515231579000000 ,0.07526920292792010000 ,0.15182053714181700000 ,
original_glrlm_RunLengthNonUniformityNormalized,0.00000004794899620622 ,0.11358737008888800000 ,0.12819567392105200000 ,0.00674993598232473000 ,0.01453077991395220000 ,
original_glrlm_RunPercentage,0.00000134970726457686 ,0.20644820504444400000 ,0.22693250755263100000 ,0.01204873914658470000 ,0.02284257708381270000 ,
original_glrlm_RunVariance,0.00000000232603872326 ,10.83862055715550000000 ,8.71643131302631000000 ,1.34523996621974000000 ,1.53159303378802000000 ,
original_glszm_LargeAreaEmphasis,0.00000000739571052615 ,9613185.81111111000000000000 ,6324908.85307894000000000000 ,2039115.52827273000000000000 ,2599065.07258574000000000000 ,
original_glszm_LargeAreaHighGrayLevelEmphasis,0.00000063580500045117 ,11376525.98888880000000000000 ,6324908.85307894000000000000 ,5238611.92801476000000000000 ,2599065.07258574000000000000 ,
original_glszm_LargeAreaLowGrayLevelEmphasis,0.00001499140777787050 ,9172350.76666666000000000000 ,6324908.85307894000000000000 ,2967555.59720658000000000000 ,2599065.07258574000000000000 ,
log-sigma-5-0-mm-3D_firstorder_90Percentile,0.00000239028741930562 ,0.26223503553333300000 ,0.32147979184210500000 ,0.04242881825330970000 ,0.06323204109252640000 ,
log-sigma-5-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.00001597836223135900 ,0.17725735120000000000 ,0.20924779702631500000 ,0.02868662834564660000 ,0.03481069244036110000 ,
log-sigma-5-0-mm-3D_firstorder_RootMeanSquared,0.00000250338923281752 ,0.22193881662222200000 ,0.26020501721052600000 ,0.03011743465054780000 ,0.03865508344688120000 ,
log-sigma-5-0-mm-3D_firstorder_Skewness,0.00000000309302281744 ,-0.64631412408888800000 ,-0.35365316436842100000 ,0.17277964380610800000 ,0.22740167650128100000 ,
log-sigma-5-0-mm-3D_firstorder_Variance,0.00000823510752712651 ,0.04777915313333330000 ,0.06601409615789470000 ,0.01455515303009250000 ,0.02022484105716720000 ,
log-sigma-5-0-mm-3D_glcm_Contrast,0.00000000344566914573 ,0.08841943475555550000 ,0.10721837273684200000 ,0.00993116613408382000 ,0.01565981281836040000 ,
log-sigma-5-0-mm-3D_glcm_Correlation,0.00000002424051869203 ,0.80746254153333300000 ,0.77279994465789400000 ,0.01821354907042970000 ,0.03199054333409610000 ,
log-sigma-5-0-mm-3D_glcm_DifferenceAverage,0.00000000344566914573 ,0.08841943475555550000 ,0.10721837273684200000 ,0.00993116613408382000 ,0.01565981281836040000 ,
log-sigma-5-0-mm-3D_glcm_DifferenceEntropy,0.00000000388765092872 ,0.42405217537777700000 ,0.48003121623684200000 ,0.03251659371982750000 ,0.04454177575566600000 ,
